id	active	category	question	optionA	optionB	optionC	optionD	correctAnswer	learn	whyMatters	deepDive	imageRef	notes
1	YES	Fungi	Brown rot fungi primarily weaken trees by removing which structural component?	Lignin	Cellulose & hemicellulose	Starch reserves	Tannins	1	Brown rot fungi break down cellulose and hemicellulose leaving lignin relatively intact	This produces cubical cracking rapid brittleness and severely reduced bending strength. Trees fail suddenly without warning signs	Fenton reaction-based enzymes break down cellulose chains; lignin remains as brown residue creating characteristic color.<br>Fracture pattern: Cubical cracking due to cellulose loss - wood loses tensile strength but retains some compression capacity.<br>Mechanical effect: Rapid loss of bending strength - wood snaps rather than bends. Dangerous because failure is sudden.<br>Common species: Laetiporus sulphureus Fomitopsis pinicola Phaeolus schweinitzii Serpula lacrymans		
2	YES	Fungi	White rot typically causes structural problems because it:	Removes lignin first	Only affects deadwood	Targets bark tissues only	Strengthens reaction wood	0	White rot fungi preferentially break down lignin the polymer providing compression strength	This leaves fibrous pale spongy wood with reduced rigidity and resilience. Failure is often more gradual than brown rot but still dangerous	Lignin peroxidases and other oxidative enzymes break down complex lignin polymers; cellulose may follow later.<br>Appearance: Pale cream/white color fibrous texture stringy or spongy consistency may feel damp.<br>Mechanical effect: Loss of compression strength and rigidity; wood becomes flexible before failing. Types: Simultaneous or selective.<br>Common species: Ganoderma spp. Armillaria spp. Meripilus giganteus Pleurotus ostreatus Fomes fomentarius		
3	YES	Fungi	Soft rot progression is most often associated with:	Dry well-aerated wood	Waterlogged or persistently wet conditions	Low pH soils only	Freezing temperatures	1	Soft rot occurs in wet oxygen-poor environments and produces narrow cavities in the secondary cell wall	It progresses more slowly than brown/white rot but can still compromise structural integrity over time especially in ground-contact situations	Conditions: High moisture content above fibre saturation low oxygen often in ground contact or submerged timber.<br>Mechanism: Type 1 soft rot forms cavities within secondary cell wall; Type 2 erodes cell wall from lumen.<br>Appearance: Surface softening may look sound internally initially.<br>Progression: Slower than brown/white rot.<br>Hosts: Common in fence posts poles timbers in ground contact waterlogged archaeology cooling towers		
4	YES	Fungi	Which symptom is most diagnostic of Armillaria infection?	Bleeding cankers	White mycelial fans beneath the bark	Black tarry exudates	Epicormic clusters in the crown	1	Armillaria forms distinct white mycelial fans between bark and wood	Rhizomorphs spread through soil but mycelial fans are THE definitive diagnostic feature - if you see them it's Armillaria	Diagnostic signs: White/cream mycelial sheets under bark at root collar and lower stem - this is the GOLD STANDARD for diagnosis.<br>Black rhizomorphs in soil or under bark.<br>Honey-coloured toadstools in autumn but not always present.<br>Decay type: White rot of roots and root collar.<br>Spread: Root-to-root contact rhizomorph growth through soil.<br>Species: A. mellea most pathogenic A. gallica less aggressive A. ostoyae A. cepistipes A. tabescens.<br>Risk: Root plate failure windthrow - HIGH HAZARD		
5	YES	Fungi	Ganoderma root and butt decay commonly results in:	Longitudinal splitting with increased flexibility	Loss of lateral stability and potential windthrow	Crown dieback as the first consistent sign	Immediate brittle stem failure	1	Ganoderma species attack buttress and root tissues reducing anchorage capacity	The tree becomes vulnerable to windthrow before obvious crown decline appears. Root and butt decay is HIDDEN until advanced - external symptoms often minimal	Decay type: White rot with simultaneous lignin and cellulose degradation.<br>Target location: Roots root collar lower 1-2m of stem.<br>Signs: Perennial brackets at base may be absent in early stages zonate upper surface brown spore deposit wood becomes spongy/fibrous.<br>Species in UK: G. australe most common G. applanatum G. resinaceum G. pfeifferi.<br>Failure mode: WINDTHROW - tree uproots because anchorage is compromised.<br>Risk assessment: Root inspection essential		
6	YES	Fungi	Kretzschmaria deusta Brittlestem is most dangerous because:	It produces visible conks early	It creates a hard brittle decay with no external symptoms	It only colonises dead roots	It improves stem taper	1	Kretzschmaria deusta often develops internal brittle decay with minimal external indicators	Failure is sudden and catastrophic often without warning. Fruiting bodies may not appear until decay is VERY advanced. One of the most dangerous decay fungi	Decay type: Soft rot causing unique brittle ceramic-like fracture.<br>Danger: Extensive internal decay with minimal or no external signs until very late stage.<br>Late-stage signs: Grey powdery patches at base turning black and crusty but often absent.<br>Fracture: Wood becomes extremely brittle - snaps like pottery/ceramic.<br>Hosts: Beech primary sycamore horse chestnut ash especially stressed by ash dieback.<br>Assessment: Sounding resistograph drilling or tomography ESSENTIAL.<br>Risk: VERY HIGH - sudden catastrophic failure		
7	YES	Fungi	Which factor most significantly increases the likelihood of fungal colonisation?	Dry summer conditions	Wounding that exposes sapwood	High nitrogen fertiliser	Shallow leaf litter	1	Most decay fungi require exposed sapwood to colonise	Mechanical wounds pruning cuts root damage and soil grade changes create entry points. Intact bark is the tree's primary defence barrier	Primary routes: Wounds mechanical damage animal damage pruning cuts and branch stubs root damage from excavation/construction bark injuries from impacts soil grade changes exposing roots branch failures creating torn surfaces.<br>Why sapwood matters: Living sapwood provides moisture and nutrients fungi need to establish.<br>CODIT response: Trees compartmentalise wounds using 4-wall system but barriers can be breached.<br>Prevention: Proper pruning technique avoid root zone disturbance protect bark remove branch stubs promptly avoid soil level changes near trunk		
8	YES	Fungi	Where do most decay fungi initiate infection in a tree?	The cambium layer	The pith	The heartwood-sapwood boundary	The outer bark	2	The heartwood-sapwood boundary is a biologically inactive zone that offers favourable moisture and oxygen conditions for decay fungi	This transition zone has optimal conditions - heartwood extractives but no active defence adequate moisture suitable oxygen levels. Decay often establishes here before spreading	Why this location: Transition zone between living sapwood and dead heartwood. Balance of moisture/oxygen ideal for fungal establishment.<br>Heartwood characteristics: No living cells contains extractives that resist some fungi drier than sapwood provides structural support.<br>Sapwood characteristics: Living parenchyma cells active defence mechanisms higher moisture transports water and nutrients.<br>Decay progression: Often colonises boundary first then spreads inward to heartwood AND outward toward sapwood		
9	YES	Fungi	Which description best fits the progression of a white-rot fungus in a living tree?	Rapid collapse of outer sapwood	Compartmentalisation prevents all spread	Gradual delignification producing a flexible fibrous decay	Only affects dead wood	2	White rot produces fibrous flexible pale decay as lignin breaks down	Spread varies with species but typically gradual. Can significantly weaken compression strength over years. Tree often compartmentalises but doesn't always stop progression	Rate variation: Highly species-dependent. Aggressive species progress quickly; slower species may take decades.<br>Pattern: Often follows wound columns may be compartmentalised by CODIT walls.<br>Appearance: Wood progressively loses lignin becomes paler more fibrous/stringy may feel spongy.<br>Detection: Sounding gives soft thud response; probing reveals fibrous texture.<br>Tree response: May produce compensatory growth around decayed zones		
10	YES	Fungi	The presence of rhizomorphs bootlaces indicates:	Fomes fomentarius	Armillaria spp.	Ganoderma spp.	Phaeolus schweinitzii	1	Rhizomorphs are characteristic of Armillaria and allow long-distance spread between hosts through soil	These black/brown cord-like structures can travel several metres through soil spreading infection from tree to tree. They can survive in soil for years and are extremely resilient	Structure: Multicellular fungal roots with protective melanised outer layer inner conducting tissue.<br>Function: Spread through soil independently of host contact can travel 3-5+ metres infect new hosts when they contact roots survive adverse conditions store energy reserves.<br>Identification: Black/dark brown branching round in cross-section bootlace appearance found under bark at root collar OR in soil near infected trees.<br>Species note: A. tabescens does NOT form rhizomorphs.<br>Management: Nearby trees at risk. Removal of infected stump/roots recommended		
